S/N,Title,Description,Category,Sub category,Tag,Author,Publisher,Datepublished,Shelflist,Position
4871,Kung Fu Panda 3: secrets of the secret panda village,"After meeting his biological father, Li, Po travels to the Panda Village where he was born. When he arrives, he meets Mei Mei, who tells him they’ve been engaged since they were cubs! Everyone in the village loves Po and wants him to stay forever, but for Po, the Jade Palace has always been his home. Could he really leave it behind?",Children's storybooks,Early readers,Age 7 - 9,Daphne Pendergrass,Simon Spotlight,2015,10-2,48
4872,Kung Fu Panda 3: the power of Po,"Po has saved the world countless times, but none of that has prepared him for his greatest challenge yet…pleasing two fathers. Now, he’s headed back to Panda Village to learn about his heritage—and the true meaning of family and friendship.",Children's storybooks,Early readers,Age 7 - 9,Maggie Testa,Simon Spotlight,2015,18-3,64
4873,Kung Fu Panda 3: the power of Po,"Po has saved the world countless times, but none of that has prepared him for his greatest challenge yet…pleasing two fathers. Now, he’s headed back to Panda Village to learn about his heritage—and the true meaning of family and friendship.",Children's storybooks,Early readers,Age 7 - 9,Maggie Testa,Simon Spotlight,2015,10-2,47
4877,Kung Fu Panda: master of manners,"Po doesn’t get invited to a banquet because of his terrible table manners in this 8x8 storybook retelling of a popular episode of Kung Fu Panda: Legends of Awesomeness!
 
 The Furious Five are getting ready to attend a banquet and are very excited. Everyone except Po, that is. He wasn’t invited because his table manners are atrocious. Can Master Shifu teach him how to eat properly in time for the banquet? This hilarious story is sure to be a big hit with young Kung Fu Panda fans (and their parents, too)!",Children's storybooks,Early readers,Age 7 - 9,Tina Gallo,Simon Spotlight,2016,10-2,59
4878,Kung Fu Panda: master of manners,"Po doesn’t get invited to a banquet because of his terrible table manners in this 8x8 storybook retelling of a popular episode of Kung Fu Panda: Legends of Awesomeness!
 
 The Furious Five are getting ready to attend a banquet and are very excited. Everyone except Po, that is. He wasn’t invited because his table manners are atrocious. Can Master Shifu teach him how to eat properly in time for the banquet? This hilarious story is sure to be a big hit with young Kung Fu Panda fans (and their parents, too)!",Children's storybooks,Early readers,Age 7 - 9,Tina Gallo,Simon Spotlight,2016,10-2,58
4879,Kung Fu Panda: master of manners,"Po doesn’t get invited to a banquet because of his terrible table manners in this 8x8 storybook retelling of a popular episode of Kung Fu Panda: Legends of Awesomeness!
 
 The Furious Five are getting ready to attend a banquet and are very excited. Everyone except Po, that is. He wasn’t invited because his table manners are atrocious. Can Master Shifu teach him how to eat properly in time for the banquet? This hilarious story is sure to be a big hit with young Kung Fu Panda fans (and their parents, too)!",Children's storybooks,Early readers,Age 7 - 9,Tina Gallo,Simon Spotlight,2016,10-2,57
4880,Kung Fu Panda: Po's awesomely perfect present,"Po reunites a father with his daughter just in time for the Winter Festival. Meanwhile, Po doesn’t have enough money to buy his dad a great gift, so he quickly carves him a lopsided wooden spoon. Will it be enough? This sweet and humorous story teaches the value of family and the true meaning of the holidays.",Children's storybooks,Early readers,Age 7 - 9,Tina Gallo,Simon Spotlight,2015,10-2,56
4881,Kung Fu Panda: Po's awesomely perfect present,"Po reunites a father with his daughter just in time for the Winter Festival. Meanwhile, Po doesn’t have enough money to buy his dad a great gift, so he quickly carves him a lopsided wooden spoon. Will it be enough? This sweet and humorous story teaches the value of family and the true meaning of the holidays.",Children's storybooks,Early readers,Age 7 - 9,Tina Gallo,Simon Spotlight,2015,10-2,55
4882,Kung Fu Panda: Po's awesomely perfect present,"Po reunites a father with his daughter just in time for the Winter Festival. Meanwhile, Po doesn’t have enough money to buy his dad a great gift, so he quickly carves him a lopsided wooden spoon. Will it be enough? This sweet and humorous story teaches the value of family and the true meaning of the holidays.",Children's storybooks,Early readers,Age 7 - 9,Tina Gallo,Simon Spotlight,2015,10-2,54
4894,Ladybug Girl and Bingo,"Lulu and her dog Bingo the basset hound are best friends. Whenever they play outside, Bingo always stays close by Lulu's side. When they go camping for the first time, Lulu does her best to be responsible and hold tight to Bingo's leash. But what happens when Bingo wants to explore the forest on his own and runs off? This is a job for Ladybug Girl! She will find Bingo in time for toasting marshmallows at the campfire.",Children's storybooks,Early readers,Age 7 - 9,David Soman,Dial Books for Young Readers,2012,17-3,54
