S/N,Title,Images,Shelflist,Position,Author ,Category,SubCategory,Publisher,Datepublished,Description,Tags
146,A collector's guide to Chinese dress accessories,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/A-collector_s-guide-to-Chinese-dress-accessories.jpg,31-1,017,Valery Garrett,Sách về sở thích,Thiết kế,Marshall Cavendish,2009,"For the first time, here is a complete guide to Chinese dress accessories worn during the Qing dynasty and the period up to the middle of the twentieth century. The topics covered include headwear, jewelry, collars, xia pei, doudous, purses and fans, footwear and home furnishings. The author also provides readers background on techniques, symbolism, social relationships, and the official regulations governing dress. A valuable reference for students of Chinese history, art lovers, and antique collectors alike.",Từ 13 tuổi trở lên
528,Amazing magic: simple sleight-of-hand,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Amazing-magic-simple-sleight-of-hand.jpg,24-5,038,Paul Zenon,Sách học và hoạt động,Hoạt động (7-9 tuổi),Rosen Central,2007,"This entertaining book introduces aspiring magicians to the tricks that serve as the foundation to the art. These basic sleights of hand teach readers that magic is all about the hand being quicker than the eye. Only basic coin and card tricks are included, making the materials accessible to the most novice of practitioners.",7-9 tuổi
608,Angry Birds: search and find,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Angry-Birds-search-and-find.jpg,24-4,034,Rovio Entertainment,Sách học và hoạt động,Hoạt động (0-6 tuổi),Egmont Books Ltd,2013,"Packed with amazing artwork of the birds and pigs with endless things to find, this title is sure to keep young minds occupied!",0-6 tuổi
609,Angry Birds: Stella: super interactive annual 2015,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Angry-Birds-Stella-super-interactive-annual-2015.jpg,24-6,003,Pedigree,Sách học và hoạt động,Hoạt động (7-9 tuổi),Pedigree Books LTD,2014,"Angry Birds Stella Super Interactive Annual 2015 is a book about the characters of Angry Birds Stella. Published by Pedigree Books, this book features an Augmented Reality (AR) experience by scanning an indicated Zappar icon on a page using the free AR Zappar mobile app. Oddly, there was not an Angry Birds Stella Super Interactive Annual 2016, even though it was stated that this is an annual for the year 2015. The book is only available in English and has 10 Zappar locations, not counting the book's cover. It includes new information regarding Stella, her flock, and Gale such as facts, likes, and their personalities.",7-9 tuổi
610,Angry Birds: Stella: super interactive annual 2015,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Angry-Birds-Stella-super-interactive-annual-2015.jpg,24-6,002,Pedigree,Sách học và hoạt động,Hoạt động (7-9 tuổi),Pedigree Books LTD,2014,"Angry Birds Stella Super Interactive Annual 2015 is a book about the characters of Angry Birds Stella. Published by Pedigree Books, this book features an Augmented Reality (AR) experience by scanning an indicated Zappar icon on a page using the free AR Zappar mobile app. Oddly, there was not an Angry Birds Stella Super Interactive Annual 2016, even though it was stated that this is an annual for the year 2015. The book is only available in English and has 10 Zappar locations, not counting the book's cover. It includes new information regarding Stella, her flock, and Gale such as facts, likes, and their personalities.",7-9 tuổi
731,Are you there?,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Are-you-there.jpg,27-3L,034,Victoria St John,Sách tham khảo,Phát minh,Macmillan Education,2009,Telephones changed the way the world communicated. Learn how telephones have progressed since the first telephone in 1876.,10-12 tuổi
897,Backyard laboratory,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Backyard-laboratory.jpg,24-5,045,Jennifer Roth,Sách học và hoạt động,Hoạt động (7-9 tuổi),Childrens Press,2007,Presents nine experiments designed to help students learn about natural phenomena and the scientific method.,7-9 tuổi
1122,Big military machines,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Big-military-machines.jpg,27-4,087,Mary Kate Doman,Sách tham khảo,Phát minh,Enslow Elementary,2013,"Young readers get the dirt on military machines in BIG MILITARY MACHINES. Simple text and large, colorful photographs put young readers right in the driver’s seat of these powerful machines.",10-12 tuổi
1288,Brass instruments,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Brass-instruments.jpg,25-4,030,Anita Ganeri,Sách tham khảo,Mọi thứ vận hành ra sao,Smart Apple Media,2012,"Explains the history of brass instruments from around the world, while profiling famous musicians.",10-12 tuổi
1311,Bright light: all about types of light,https://lotuscommunity.org.vn/wp-content/uploads/2021/02/Bright-light-all-about-types-of-light.jpg,25-5,014,Terry Jennings,Sách tham khảo,Mọi thứ vận hành ra sao,Franklin Watts,2009,This title introduces early science concepts using everyday examples to teach young readers how the world around them works. It encourages young readers to develop enquiry by predicting outcomes,10-12 tuổi
