S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
656,Animal tales from Mother Goose,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Animal-Tales-from-Mother-Goose.jpg,15-2,042,Mother Goose,Sách truyện thiếu nhi,7-9 tuổi,Magic Wagon,Nursery Rhymes are beloved by children everywhere. Animal Tales from Mother Goose passes down the tradition of folklore while entertaining and teaching with all of Mother Goose's beloved animal characters. The beautifully illustrated series is a wonderful addition to your folklore collection.,7-9 tuổi
841,Baby animal picture puzzles,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Baby-animal-picture-puzzles.jpg,30-5R,001,Matt Bruning,Sách học và hoạt động,Hoạt động (0-6 tuổi),Capstone Press,"We love baby animals! From fuzzy felines to rowdy raccoons, these picture puzzles are purrfect fun.",0-6 tuổi
895,Backyard animals: owls,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Backyard-animals-owls.jpg,23-6,027,Nick Winnick,Sách tham khảo,Động vật,Weigl,Did you know that great horned owls have one of the best-known hoots? These birds can be found in nearly every country on Earth. Learn more about the owl in this informative series.,10-12 tuổi
1446,Can anybody hear me?,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Can-anybody-hear-me.jpg,11-4,037,Jessica Meserve,Sách truyện thiếu nhi,7-9 tuổi,Clarion Books,"Jack is quiet—which wouldn’t be so bad if the rest of his family wasn’t SO NOISY. No one can hear him over the sound of their own voices. So when Jack tells them he's going up the mountain one day, nobody hears him. And when night falls, nobody knows where he is. Now Jack will have to find his voice in order to help his family find him. This satisfying story is set against a rural western backdrop and features Jessica Meserve’s vivid illustrations, which burst with color and personality.",7-9 tuổi
1518,Cave baby,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Cave-baby.jpg,10-2,076,Julia Donaldson,Sách truyện thiếu nhi,7-9 tuổi,Pan MacMillan,"A hairy mammoth takes a cheeky little baby on a thrilling ride through a moonlit landscape populated by a sabre-toothed tiger, a leaping hare, a laughing hyena and even, just maybe, by a big brown bear . . . But where are they going? And what has it to do with the baby's scribblings on the cave wall?
 
 Created by the critically acclaimed author Julia Donaldson and Kate Greenaway medal winner Emily Gravett, Cave Baby celebrates the messy creativity of babies!",7-9 tuổi
1994,Daddo daycare,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Daddo-daycare.png,11-3,042,Disney,Sách truyện thiếu nhi,7-9 tuổi,Disney Press,"Daddo is in charge of the family while Momma is gone for the weekend, and Henry rallies the family to help him out.",7-9 tuổi
2137,Did my mother do that,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Did-my-mother-do-that.jpg,15-2,031,Sharon Holt,Sách truyện thiếu nhi,7-9 tuổi,Candlewick Press,"What was I like when I was born? The perennial question receives a fanciful response in a tale that takes an interspecies tour of mothers and babies.
 
 Holly loves to hear the story of the night when she was born—but first she needs to ask a lot of questions. Did her mother hatch her out of an egg? Did she carry Holly in her pocket? Maybe she fed her baby mice for dinner? As Holly and her dad rule out one imaginary scenario after another, little listeners will be eager to join in, while learning some interesting details along the way. And they’ll be just as comforted as Holly to hear one final, satisfying tale of a happy and loving human mother on the day her baby was born.",7-9 tuổi
3305,"Good night, little dragons",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Good-night-little-dragons.jpg,9-2,059,Leigh Ann Tyson,Sách truyện thiếu nhi,7-9 tuổi,Golden Books,"What do little dragons do before going to bed? They brush their fangs, take a bath, and breathe fire, of course! This Little Golden Book follows three small dragons through a funny-yet-familiar bedtime routine that kids are sure to enjoy.",7-9 tuổi
3307,"Good night, Mr Night",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Good-night-Mr-Night.jpg,16-1,045,Dan Yaccarino,Sách truyện thiếu nhi,7-9 tuổi,Yottoy,"Each evening as gentle Mr. Night walks the earth closing the flowers, soothing the animals, and calming the sea, he brings a special magic to the world. When he arrives at your window, you'll know it's time for bed at last.",7-9 tuổi
3310,"Good night, Stella",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Good-night-Stella.jpg,15-4,008,Kate McMullan,Sách truyện thiếu nhi,7-9 tuổi,Candlewick,"Stella just cannot seem to sleep, between practicing gargling and wondering if her eyeballs can fall out, and after her father decides that he should go to bed instead, she has a party.",7-9 tuổi
3318,"Goodnight, goodnight, construction site",https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Goodnight-goodnight-construction-site.jpg,7-1,017,Sherri Duskey Rinker,Sách truyện thiếu nhi,7-9 tuổi,Chronicle Books,"An unabridged board book for kids version of the bestselling, best-beloved hardcover, perfect for small hands! Even the roughest, toughest readers will want to turn off their engines, rest their wheels, and drift to sleep with this sweet and soothing story.",7-9 tuổi
3375,Grandma's smile,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Grandma_s-smile.jpg,11-2,035,Randy Siegel,Sách truyện thiếu nhi,7-9 tuổi,Roaring Brook Press,"On a snowy day in the city, a boy gets an important phone call from his grandmother: she's lost her smile. There's only one thing to do: fly down south on an urgent mission, stuffed bunny in tow, to find that smile and return it to its rightful place. But he won't have to look very hard.",7-9 tuổi
3376,Grandpa comes to first grade,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Grandpa-comes-to-first-grade.jpg,17-2,063,Jean Robertson,Sách truyện thiếu nhi,7-9 tuổi,Little Birdie Books,"Grandpa Comes to First Grade introduces young readers to punctuation, sight words, and reading comprehension skills.",7-9 tuổi
3388,Grandpa's girls,https://lotuscommunity.org.vn/wp-content/uploads/2021/04/Grandpa_s-girls.jpg,18-2,027,Nicola Campbell,Sách truyện thiếu nhi,7-9 tuổi,Groundwood Books,"A young girl delights in a visit to her grandpa's farm. She and her cousins run through the fields, explore the root cellar where the smoked salmon and jars of fruit are stored, swing on a rope out the barn loft window, visit the appaloosa in the corral and tease the neighbor's pig. The visit is also an opportunity for this child to ask Grandpa what her grandmother, Yahyah, was like, and explore the ""secret room,"" with its old wooden box of ribbons, medals and photos of Grandpa in uniform.",7-9 tuổi
