Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
Science Adventures level 1 issue 12: Hassle-free safety,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/Science-Adventures-level-1-issue-12-Hassle-free-safety.jpg,11-5,064,Shel Sweeney,Sách tham khảo,Tạp chí,English Corner Publishing ,"Science Adventures is an ongoing series of science themed comic Tạp chí, originally published in Singapore, to promote science and language skills amongst primary school students. These full-colour Tạp chí are designed to stimulate children's interest in science and STEM subjects.",10-12 tuổi
Science Adventures level 1 issue 14: Pets or helper,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/Science-Adventures-level-1-issue-14-Pets-or-helper.jpg,11-5,065,Shel Sweeney,Sách tham khảo,Tạp chí,English Corner Publishing ,"Science Adventures is an ongoing series of science themed comic Tạp chí, originally published in Singapore, to promote science and language skills amongst primary school students. These full-colour Tạp chí are designed to stimulate children's interest in science and STEM subjects.",10-12 tuổi
Science Adventures level 1 issue 17: Magnetic wall,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/Science-Adventures-level-1-issue-17-Magnetic-wall.jpg,11-5,066,Shel Sweeney,Sách tham khảo,Tạp chí,English Corner Publishing ,"Science Adventures is an ongoing series of science themed comic Tạp chí, originally published in Singapore, to promote science and language skills amongst primary school students. These full-colour Tạp chí are designed to stimulate children's interest in science and STEM subjects.",10-12 tuổi
Science Adventures level 1 issue 19: Fruits could make my dishes more tasty,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/Science-Adventures-level-1-issue-19-Fruits-could-make-my-dishes-more-tasty.jpg,11-5,067,Shel Sweeney,Sách tham khảo,Tạp chí,English Corner Publishing ,"Science Adventures is an ongoing series of science themed comic Tạp chí, originally published in Singapore, to promote science and language skills amongst primary school students. These full-colour Tạp chí are designed to stimulate children's interest in science and STEM subjects.",10-12 tuổi
Science Adventures level 1 issue 24: Happy Circus,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/Science-Adventures-level-1-issue-24-Happy-Circus.jpg,11-5,063,Shel Sweeney,Sách tham khảo,Tạp chí,English Corner Publishing ,"Science Adventures is an ongoing series of science themed comic Tạp chí, originally published in Singapore, to promote science and language skills amongst primary school students. These full-colour Tạp chí are designed to stimulate children's interest in science and STEM subjects.",10-12 tuổi
Science Adventures level 1 issue 25: Roar! The good tyrannosaurus,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/Science-Adventures-level-1-issue-25-Roar-The-good-tyrannosaurus.jpg,11-5,062,Shel Sweeney,Sách tham khảo,Tạp chí,English Corner Publishing ,"Science Adventures is an ongoing series of science themed comic Tạp chí, originally published in Singapore, to promote science and language skills amongst primary school students. These full-colour Tạp chí are designed to stimulate children's interest in science and STEM subjects.",10-12 tuổi
The Young Scientists level 1 issue 136: Blowing at a wind vane,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-1-issue-136-Blowing-at-a-wind-vane.jpg,11-5,043,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 1) magazine opens up the world of Science to curious minds to prepare them for a fascinating journey into the studies of various Sciences in the years to come. The stories are creatively crafted and illustrated with animation of the highest standard in the comic industry.

In this issue, get to know why seawater is so salty, how wind can help us, the secret behind the guava fruit, and more!",10-12 tuổi
The Young Scientists level 1 issue 141: Where have the stars gone?,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-1-issue-141-Where-have-the-stars-gone.jpg,11-5,044,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 1) magazine opens up the world of Science to curious minds to prepare them for a fascinating journey into the studies of various Sciences in the years to come. The stories are creatively crafted and illustrated with animation of the highest standard in the comic industry.

In this issue, get to know why seawater is so salty, how wind can help us, the secret behind the guava fruit, and more!",10-12 tuổi
The Young Scientists level 1 issue 142: Homecoming for the reindeer,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-1-issue-142-Homecoming-for-the-reindeer.jpg,11-5,072,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 1) magazine opens up the world of Science to curious minds to prepare them for a fascinating journey into the studies of various Sciences in the years to come. The stories are creatively crafted and illustrated with animation of the highest standard in the comic industry.

In this issue, get to know why oysters are natural water filters, how bees dance to communicate, why cats prefer to sleep in boxes, and more!",10-12 tuổi
The Young Scientists level 1 issue 151: Dung beetles come from poo,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-1-issue-151-Dung-beetles-come-from-poo.jpg,11-5,045,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 1) magazine opens up the world of Science to curious minds to prepare them for a fascinating journey into the studies of various Sciences in the years to come. The stories are creatively crafted and illustrated with animation of the highest standard in the comic industry.

In this issue, get to know why seawater is so salty, how wind can help us, the secret behind the guava fruit, and more!",10-12 tuổi
The Young Scientists level 1 issue 83: Kangaroo,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-1-issue-83-Kangaroo.jpg,11-5,042,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 1) magazine opens up the world of Science to curious minds to prepare them for a fascinating journey into the studies of various Sciences in the years to come. The stories are creatively crafted and illustrated with animation of the highest standard in the comic industry.

In this issue, get to know why seawater is so salty, how wind can help us, the secret behind the guava fruit, and more!",10-12 tuổi
The Young Scientists level 2 issue 125: Magnetic levitation train,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-125-Magnetic-levitation-train.jpg,11-5,059,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 131: Predators,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-131-Predators.jpg,11-5,061,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
The Young Scientists level 2 issue 139: Using silver to detect poison,https://lotuscommunity.org.vn/wp-content/uploads/2022/06/The-Young-Scientists-level-2-issue-139-Using-silver-to-detect-poison.jpg,11-5,058,Yu Chun Lum,Sách tham khảo,Tạp chí,Young Scientists Explorer,"The Young Scientists (Level 2) magazine reveals the wonder of Science by creating stories in comic format to assist children to better understand science concepts. The stories and content are designed with relevant graphics and colourful illustrations to help reader relate intelligently to Science concepts.

In this issue, discover the benefits of vaccination, learn how to grow your own spring onions, find out which kingdom mushrooms belong to, and more!",10-12 tuổi
