Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
simple,,Half a man,1,0,visible,Revered author Michael Morpurgo remembers the post-war Britain of his childhood in this unflinching and deeply poignant tale of the physical and mental scars of war.,Revered author Michael Morpurgo remembers the post-war Britain of his childhood in this unflinching and deeply poignant tale of the physical and mental scars of war.,,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/Half-a-man.jpg,,,,,,,,,0,Tác giả,Michael Morpurgo,1,1,Nhà xuất bản,Candlewick,1,1,Năm xuất bản,,1,1,Giá sách,Giá 22-2,1,1,Vị Trí Sách,Thứ tự 102,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Homecoming,1,0,visible,"A tender, lyrical tale from the author's childhood in an idyllic English village, with environmental and conservational themes.

In this involving tale, master storyteller Michael Morpurgo revisits the ""landscape of his memories"", telling of his boyhood in the idyllic village of Bradwell fifty years before. The village is a stone's throw from the sea and is peopled by quirky characters such as the three Stebbing sisters, the white moustachioed Colonel Burton and Bennie the village thug. But the heroine of this story is the serene Mrs Pettigrew, who lives in a railway carriage down in the marshes with her dogs, donkey, bees and hens. But industrial reality intrudes when plans are made to build a nuclear power station on the site of the marshes, endangering Mrs Pettigrew's home and the gulls, owls, kestrels and thousands of insects and plants which also belong there. A village battle ensues for and against the environmental hazard of the power station, and the young Michael finds himself caught up in the sad fate of Mrs Pettigrew and the landscape of his boyhood.","A tender, lyrical tale from the author's childhood in an idyllic English village, with environmental and conservational themes.

In this involving tale, master storyteller Michael Morpurgo revisits the ""landscape of his memories"", telling of his boyhood in the idyllic village of Bradwell fifty years before. The village is a stone's throw from the sea and is peopled by quirky characters such as the three Stebbing sisters, the white moustachioed Colonel Burton and Bennie the village thug. But the heroine of this story is the serene Mrs Pettigrew, who lives in a railway carriage down in the marshes with her dogs, donkey, bees and hens. But industrial reality intrudes when plans are made to build a nuclear power station on the site of the marshes, endangering Mrs Pettigrew's home and the gulls, owls, kestrels and thousands of insects and plants which also belong there. A village battle ensues for and against the environmental hazard of the power station, and the young Michael finds himself caught up in the sad fate of Mrs Pettigrew and the landscape of his boyhood.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/Homecoming.jpg,,,,,,,,,0,Tác giả,Michael Morpurgo,1,1,Nhà xuất bản,Walker Books,1,1,Năm xuất bản,,1,1,Giá sách,Giá 21-3,1,1,Vị Trí Sách,Thứ tự 046,1,1,Giá trị sách,"500\,000đ",1,1
simple,,I broke into gymnastics camp,1,0,visible,"Kenzie is so excited to get started at gymnastics camp that she breaks the lock on the gym door. When one of the coaches discovers that it is broken, she decides to cancel camp for the day. Will Kenzie ruin it for everyone, or will she admit that she broke into gymnastics camp?","Kenzie is so excited to get started at gymnastics camp that she breaks the lock on the gym door. When one of the coaches discovers that it is broken, she decides to cancel camp for the day. Will Kenzie ruin it for everyone, or will she admit that she broke into gymnastics camp?",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/I-broke-into-gymnastics-camp.jpg,,,,,,,,,0,Tác giả,Jessica Gunderson,1,1,Nhà xuất bản,Capstone Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 20-3,1,1,Vị Trí Sách,Thứ tự 062,1,1,Giá trị sách,"500\,000đ",1,1
simple,,If you decide to go to the moon,1,0,visible,"Two artists at the height of their powers have created a beautiful book with an unforgettable message about the moon and an even more important message about the earth. A publishing event!
""If you decide to go to the moon,"" writes Faith McNulty, ""read this book first. It will tellyou how to get there and what to do after youland. The most important part tells you how to get home. Written in the second person, the text allows the reader to participate in every aspect of the journey, from packing (""don't forget your diary and plenty of food"") to liftoff (at first you'll feel heavy; don't worry"") to traveling thorugh space (where ""the moon glows like a pearl in the black, black sky""). The reader lands at the Sea of Tranquility, the site of the first lunar landing.","Two artists at the height of their powers have created a beautiful book with an unforgettable message about the moon and an even more important message about the earth. A publishing event!
""If you decide to go to the moon,"" writes Faith McNulty, ""read this book first. It will tellyou how to get there and what to do after youland. The most important part tells you how to get home. Written in the second person, the text allows the reader to participate in every aspect of the journey, from packing (""don't forget your diary and plenty of food"") to liftoff (at first you'll feel heavy; don't worry"") to traveling thorugh space (where ""the moon glows like a pearl in the black, black sky""). The reader lands at the Sea of Tranquility, the site of the first lunar landing.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/If-you-love-a-horse-tale.jpg,,,,,,,,,0,Tác giả,Faith McNulty,1,1,Nhà xuất bản,Scholastic Press,1,1,Năm xuất bản,,1,1,Giá sách,Giá 21-3,1,1,Vị Trí Sách,Thứ tự 008,1,1,Giá trị sách,"500\,000đ",1,1
simple,,If you love a horse tale,1,0,visible,"Take the reins and enjoy these unforgettable horse adventures as you read Saviour Pirotta's captivating retellings of Black Beauty and The Knight's Mare. Susanna Lockheart's irresistible watercolors perfectly complement these classic horse tales, which will appeal to young and old readers alike. The changing picture windows add to the magical experience, making this a storybook that all children will read and treasure for years to come. ","Take the reins and enjoy these unforgettable horse adventures as you read Saviour Pirotta's captivating retellings of Black Beauty and The Knight's Mare. Susanna Lockheart's irresistible watercolors perfectly complement these classic horse tales, which will appeal to young and old readers alike. The changing picture windows add to the magical experience, making this a storybook that all children will read and treasure for years to come. ",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/If-you-decide-to-go-to-the-moon.jpg,,,,,,,,,0,Tác giả,Saviour Pirotta,1,1,Nhà xuất bản,B.E.S. Publishing,1,1,Năm xuất bản,,1,1,Giá sách,Giá 21-1,1,1,Vị Trí Sách,Thứ tự 024,1,1,Giá trị sách,"500\,000đ",1,1
simple,,In search of Sasquatch,1,0,visible,"What is Sasquatch? Thousands of people believe in it. Hundreds say they have seen it. But the mystery of Sasquatch has not been solved...

Sasquatch, also known as Bigfoot, is a cryptid - a creature of cryptozoology. Cryptozoology is the study of creatures not recognized by traditional science, and it is the quest to understand things that cannot be proven via ordinary channels. Kelly Milner Halls interviews cryptozoologists, linguistics experts, anthropologists, biologists, and regular people like us who have seen, heard, or maybe stumbled across evidence leading them to believe that Sasquatch is real. Serious Sasquatch seekers are as skeptical as unbelievers. They are not out to collect great stories. They are out to put together facts. The difference is, they are willing to keep an open mind. Do you believe in Sasquatch?","What is Sasquatch? Thousands of people believe in it. Hundreds say they have seen it. But the mystery of Sasquatch has not been solved...

Sasquatch, also known as Bigfoot, is a cryptid - a creature of cryptozoology. Cryptozoology is the study of creatures not recognized by traditional science, and it is the quest to understand things that cannot be proven via ordinary channels. Kelly Milner Halls interviews cryptozoologists, linguistics experts, anthropologists, biologists, and regular people like us who have seen, heard, or maybe stumbled across evidence leading them to believe that Sasquatch is real. Serious Sasquatch seekers are as skeptical as unbelievers. They are not out to collect great stories. They are out to put together facts. The difference is, they are willing to keep an open mind. Do you believe in Sasquatch?",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/In-search-of-Sasquatch.jpg,,,,,,,,,0,Tác giả,Kelly Milner Halls,1,1,Nhà xuất bản,HMH Books for Young Readers,1,1,Năm xuất bản,,1,1,Giá sách,Giá 20-4,1,1,Vị Trí Sách,Thứ tự 034,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Ivan the terrible,1,0,visible,"Explore the life of Ivan the Terrible, including his childhood, his rise to power in Russia, his bloody reign, and death.

The wicked ways of some of the most ruthless rulers to walk the earth are revealed in these thrilling biographies (A Wicked History) about men and women so monstrous, they make Frankenstein look like a sweetheart.","Explore the life of Ivan the Terrible, including his childhood, his rise to power in Russia, his bloody reign, and death.

The wicked ways of some of the most ruthless rulers to walk the earth are revealed in these thrilling biographies (A Wicked History) about men and women so monstrous, they make Frankenstein look like a sweetheart.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/Ivan-the-terrible.jpg,,,,,,,,,0,Tác giả,Sean Price,1,1,Nhà xuất bản,Franklin Watts,1,1,Năm xuất bản,,1,1,Giá sách,Giá 20-3,1,1,Vị Trí Sách,Thứ tự 072,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Ivy takes care,1,0,visible,"In a heart and humor-filled adventure by On the Blue Comet author Rosemary Wells, a girl spends a summer caring for animals in the mid-century Southwest.

Brokenhearted after her best friend leaves for the entire summer, Ivy rallies and finds herself something new and exciting to do: she hires herself out to look after people’s farm animals and pets while they’re away. So begins a summer of discovery and definition for tenderhearted but sensible Ivy, who must win over the stubborn pony Chestnut, take on the training of a puppy named Inca, and patiently court the trust of the magnificent but scarred racehorse, Andromeda. All this while tending to her own private hurts and hopes, and managing the hapless tagalong Billy Joe, who has a knack for trouble and accidents like nobody else. Celebrated writer Rosemary Wells delivers a compassionately observed and exquisitely distilled novel set in mid-century Nevada about a heroine with an exceptional gift, a heart of gold, and a budding dream for her future.","In a heart and humor-filled adventure by On the Blue Comet author Rosemary Wells, a girl spends a summer caring for animals in the mid-century Southwest.

Brokenhearted after her best friend leaves for the entire summer, Ivy rallies and finds herself something new and exciting to do: she hires herself out to look after people’s farm animals and pets while they’re away. So begins a summer of discovery and definition for tenderhearted but sensible Ivy, who must win over the stubborn pony Chestnut, take on the training of a puppy named Inca, and patiently court the trust of the magnificent but scarred racehorse, Andromeda. All this while tending to her own private hurts and hopes, and managing the hapless tagalong Billy Joe, who has a knack for trouble and accidents like nobody else. Celebrated writer Rosemary Wells delivers a compassionately observed and exquisitely distilled novel set in mid-century Nevada about a heroine with an exceptional gift, a heart of gold, and a budding dream for her future.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/Ivy-takes-care.jpg,,,,,,,,,0,Tác giả,Rosemary Wells,1,1,Nhà xuất bản,Candlewick,1,1,Năm xuất bản,,1,1,Giá sách,Giá 22-2,1,1,Vị Trí Sách,Thứ tự 065,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Jinxed,1,0,visible,"It’s Chad’s first spring as a batboy, and the Pine City Porcupines are hot - until they come up against the league-leading Heron Lake Humdingers. Now Chad’s got a whole lineup of problems: his favorite player, shortstop Mike Stammer, thinks he’s jinxed; Dylan, the other batboy, doesn’t even like baseball; there’s a goofy new porcupine mascot on the field; plus, Chad has to fill in as batboy for the Herons. It’s a good thing there’s something in the cards - his baseball cards, that is - that can help Chad sort it all out. ","It’s Chad’s first spring as a batboy, and the Pine City Porcupines are hot - until they come up against the league-leading Heron Lake Humdingers. Now Chad’s got a whole lineup of problems: his favorite player, shortstop Mike Stammer, thinks he’s jinxed; Dylan, the other batboy, doesn’t even like baseball; there’s a goofy new porcupine mascot on the field; plus, Chad has to fill in as batboy for the Herons. It’s a good thing there’s something in the cards - his baseball cards, that is - that can help Chad sort it all out. ",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/Jinxed.jpg,,,,,,,,,0,Tác giả,Kurtis Scaletta,1,1,Nhà xuất bản,Harry N. Abrams,1,1,Năm xuất bản,,1,1,Giá sách,Giá 21-3,1,1,Vị Trí Sách,Thứ tự 044,1,1,Giá trị sách,"500\,000đ",1,1
simple,,Joan of Arc,1,0,visible,"As a young girl in a small village in France, Joan prayed daily that France would be delivered from the English and Burgundian invaders who were ravishing the country. When Joan was thirteen, she had a life-changing experience. The archangel Michael appeared in a vision and told her that she would save the kingdom of France and lead the dauphin (heir to the throne) to Reims Cathedral to be crowned king. Calling herself the Maid of God, Joan set off to gather an army, win a number of crucial battles, and install the dauphin on the French throne. Although the king later deserted her when France’s enemies put her on trial for heresy and burned her at the stake, her bravery and faith inspired the French people and led them to victory. Demi has drawn Joan’s battles and triumphs with exquisite detail inspired by the stained glass, architecture, painting, and sculpture of the fifteenth century.","As a young girl in a small village in France, Joan prayed daily that France would be delivered from the English and Burgundian invaders who were ravishing the country. When Joan was thirteen, she had a life-changing experience. The archangel Michael appeared in a vision and told her that she would save the kingdom of France and lead the dauphin (heir to the throne) to Reims Cathedral to be crowned king. Calling herself the Maid of God, Joan set off to gather an army, win a number of crucial battles, and install the dauphin on the French throne. Although the king later deserted her when France’s enemies put her on trial for heresy and burned her at the stake, her bravery and faith inspired the French people and led them to victory. Demi has drawn Joan’s battles and triumphs with exquisite detail inspired by the stained glass, architecture, painting, and sculpture of the fifteenth century.",,,taxable,,1,1,1,0,1,,,,,1,,,0,"Sách truyện thiếu nhi > 10-12 tuổi, Sách truyện thiếu nhi","10-12 tuổi,sach-thang-07-2021",,https://lotuscommunity.org.vn/wp-content/uploads/2021/06/Joan-of-Arc.jpg,,,,,,,,,0,Tác giả,Demi,1,1,Nhà xuất bản,Two Lions,1,1,Năm xuất bản,,1,1,Giá sách,Giá 20-2,1,1,Vị Trí Sách,Thứ tự 025,1,1,Giá trị sách,"500\,000đ",1,1
